submit,prop,cond,bet,guess,pbet,pguess,key1,key2,ckey1,ckey2,cguess,locked,endTR,subnum,subject
60,78,3,50,0,52,1,6,0,-999999,-999999,-999999,0,9,3,'591-AC-1'
60,79,3,60,0,30,1,6,0,-999999,-999999,-999999,0,61,3,'591-AC-1'
60,80,1,60,0,3,0,6,0,-999999,-999999,-999999,0,1342,3,'591-AC-1'
60,81,1,60,0,1,0,6,0,-999999,-999999,0,0,1072,3,'591-AC-1'
60,82,4,50,0,37,1,6,0,3,7,-999999,0,1010,3,'591-AC-1'
60,83,1,60,0,31,0,6,0,-999999,-999999,-999999,0,326,3,'591-AC-1'
-999999,84,3,50,0,53,1,-999999,-999999,-999999,-999999,-999999,1,214,3,'591-AC-1'
-999999,85,3,60,0,40,1,-999999,-999999,-999999,-999999,-999999,1,1480,3,'591-AC-1'
-999999,86,1,60,0,30,0,-999999,-999999,-999999,-999999,-999999,1,113,3,'591-AC-1'
60,87,5,50,0,-999999,-999999,6,0,-999999,-999999,-999999,0,651,3,'591-AC-1'
60,88,4,60,1,41,0,6,0,-999999,-999999,-999999,0,704,3,'591-AC-1'
60,89,3,50,0,52,1,6,0,-999999,-999999,-999999,0,922,3,'591-AC-1'
60,90,2,60,0,47,0,6,0,-999999,-999999,-999999,0,239,3,'591-AC-1'
60,91,4,60,0,45,1,6,0,-999999,-999999,1,0,71,3,'591-AC-1'
60,92,2,60,0,40,0,6,0,-999999,-999999,-999999,0,1044,3,'591-AC-1'
60,93,2,50,0,30,0,6,0,-999999,-999999,-999999,0,546,3,'591-AC-1'
60,94,1,60,0,27,0,6,0,-999999,-999999,-999999,0,1062,3,'591-AC-1'
60,95,2,60,0,46,0,6,0,-999999,-999999,-999999,0,1452,3,'591-AC-1'
60,96,1,60,1,36,1,6,0,-999999,-999999,-999999,0,17,3,'591-AC-1'
60,97,2,60,0,50,0,6,0,-999999,-999999,-999999,0,1349,3,'591-AC-1'
60,98,3,60,1,21,0,6,0,-999999,-999999,-999999,0,333,3,'591-AC-1'
60,99,3,60,0,7,1,6,0,-999999,-999999,-999999,0,587,3,'591-AC-1'
-999999,100,3,50,1,50,0,-999999,-999999,-999999,-999999,-999999,1,79,3,'591-AC-1'
60,101,2,60,0,45,0,6,0,4,5,-999999,0,908,3,'591-AC-1'
60,102,3,60,1,47,0,6,0,-999999,-999999,-999999,0,1018,3,'591-AC-1'
60,103,4,60,1,44,0,6,0,-999999,-999999,-999999,0,165,3,'591-AC-1'
60,104,4,60,1,37,0,6,0,-999999,-999999,-999999,0,291,3,'591-AC-1'
60,105,1,60,0,6,0,6,0,-999999,-999999,1,0,88,3,'591-AC-1'
60,106,5,50,0,-999999,-999999,6,0,-999999,-999999,-999999,0,1277,3,'591-AC-1'
60,107,4,50,1,34,0,6,0,-999999,-999999,-999999,0,1140,3,'591-AC-1'
60,108,3,50,1,53,0,6,0,-999999,-999999,-999999,0,26,3,'591-AC-1'
60,109,1,60,0,17,0,6,0,-999999,-999999,-999999,0,610,3,'591-AC-1'
50,110,2,60,0,47,0,5,0,-999999,-999999,-999999,0,359,3,'591-AC-1'
60,111,4,60,0,40,1,6,0,-999999,-999999,-999999,0,267,3,'591-AC-1'
60,112,3,60,1,1,0,6,0,0,1,-999999,0,1090,3,'591-AC-1'
